Symbol,Company,LTP,Share Outstanding,Floated Shares,Market Cap (NPR),Floated Market Cap,Impact In NEPSE,50D Avg Volume
GBBL,Garima Bikas Bank Limited,396,60213484,29504607.02,23844539547.35,11683824378,0.52 %,25633.06
GBIME,Global IME Bank Limited,226.6,381158530,186005362.56,86370522859.48,42148815155,1.90 %,101744.76
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,778.2,10053500,2714445.00,7823633700.00,2112381099,0.17 %,9211.24
GCIL,Ghorahi Cement Industry Limited,427,50244543,9926429.68,21454419685.93,4238585473,0.47 %,25984.94
GFCL,Goodwill Finance Co. Ltd.,675,9461152,4635964.48,6386277600.00,3129276024,0.14 %,28667.3
GHL,Ghalemdi Hydro Limited,238.8,16500000,16500000.00,3940200000.00,3940200000,0.09 %,78374.06
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1185.2,6482978,1944893.39,7683625476.48,2305087643,0.17 %,3455
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2064,1323581,426987.07,2731870152.00,881301311,0.06 %,1404.58
GLH,GREENLIFE HYDROPOWER LIMITED,264,18000000,18000000.00,4752000000.00,4752000000,0.10 %,32965.4
GMFBS,Ganapati Microfinance Bittiya Sanstha Limited,1498,1515545,490582.02,2270286896.85,734891869,0.05 %,1071.8
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,493,10121760,4824030.82,4990027680.00,2378247192,0.11 %,46230.54
GMLI,Guardian Micro Life Insurance Limited,1780,7500000,2250000.00,13350000000.00,4005000000,0.29 %,4732.04
GRDBL,Green Development Bank Ltd.,1188.5,6155000,3015949.98,7315217462.11,3584456556,0.16 %,24179.98
GUFL,Gurkhas Finance Ltd.,570,8679938,4253169.62,4947564660.00,2424306683,0.11 %,24200.58
GVL,Green Ventures Limited,507,34375000,34375000.00,17428125000.00,17428125000,0.38 %,100746.12
HATHY,Hathway Investment Nepal Limited,932.6,31711680,3891888.00,29574312768.00,3629574749,0.65 %,10533.54
HBL,Himalayan Bank Limited,193.9,225816625,60993070.49,43785843645.67,11826556369,0.96 %,75843.08
HDHPC,Himal Dolakha Hydropower Company Limited,213,28000000,28000000.00,5964000000.00,5964000000,0.13 %,147128.44
HDL,Himalayan Distillery Limited,1151,36880822,15489945.22,42449826075.41,17828926952,0.93 %,61981.06
HEI,Himalayan Everest Insurance Limited,513.6,25001578,12250773.03,12840810260.93,6291997028,0.28 %,8709.54
HEIP,"Himalayan Everest Insurance Limited (Promoter)",317,2675044,0.00,847988948.00,0,0.02 %,0
HHL,Himalayan Hydropower Limited,346,10950000,10950000.00,3788700000.00,3788700000,0.08 %,37479.3
HIDCL,Hydroelectricity Investment and Development Company Ltd,266.6,249282102,49856420.39,66458608379.87,13291721676,1.46 %,124747.14
HIDCLP,"Hydroelectricity Investment and Development Company Limited (Promoter)",197,33000000,0.00,6501000000.00,0,0.14 %,0
HIMSTAR,Him Star Urja Company Limited,1050,3730000,1119000.00,3916500000.00,1174950000,0.09 %,40633.58
HLBSL,Himalayan Laghubitta Bittiya Sanstha Ltd.,918.1,3410861,1671321.94,3131511578.66,1534440674,0.07 %,2592.38
HLI,Himalayan Life Insurance Limited,370,91432373,44801862.79,33829978024.80,16576689232,0.74 %,52321.48
